001997cae2256e61abdcd8fff956c482	0	115667	player	libopenmpt	Game Music Creator	4	32100	ed844ae7	3b2e03d8	2/GAMES/G520.DMS/FatalMission2/Music/Level2Music.DAT
002cd6f8408f6a4b99446ec23fd0db98	0	226804	player	uade	Sonix Music Driver	0	8158	1fcfcb21	8057c74f	2/MUSICS/M168.DMS/scores/Easy
002cd6f8408f6a4b99446ec23fd0db98	0	226804	player	uade	Sonix Music Driver	0	8158	1fcfcb21	8057c74f	2/MUSICS/M168.DMS/scores/Easy.smus
006021cd65334396d27419f26fc9b438	0	205426	player+silence	uade	NoiseTracker	0	112416	42310a30	5def18a3	1/MUSIC-MODULE/echo.mod
00e83979e0fdfc2e4ce908aaad721117	1	69224	player	uade	Protracker compatible	0	100542	0f54ece2	28db6f28	1/MUSIC-MODULE/coca-cola.mod
0210930082f93ccc75a4eaedec3cad8a	1	206207	player	uade	Noisetracker 1.x	0	128624	b58901aa	489b1633	2/MUSICS/M192.DMS/compost
02844cf00a60a06c3920f0483ff51068	1	222945	player	uade	Protracker	0	262146	42dd2eee	b632fe4c	2/MUSICS/M331A.DMS/Mod.Unity_In_Dub
02c8b1497684cbd725b2c642880e1894	1	130974	player	uade	OctaMED MMD0	0	74410	71fded05	f1cfe25d	1/utilities/U311.DMS/BootPic/DemoSong.mod
03af0f9c77e26f567db7c7fd18a1eaf2	0	51155	player+silence	libxmp	NoisePacker v3	4	179098	8b9951c4	98271041	2/MUSICS/M330A.DMS/MOD.Overture.CNP
04838af2ff832e287550a171e940bd45	1	205564	player	uade	Noisetracker 1.x	0	88874	ffb666f8	d81868f7	1/ST-SAMPLES/TECHNO B/Mod.Trippel_Trouble
04c6dcc48e43f63c965f6f80f1f65108	0	92292	player	uade	Amos Music Bank	0	77346	277c0374	8b0a81ce	1/Anim/A037.DMS/BirdMusic.Abk
05957b293527532ba74c3a98c3aa8ef6	1	161397	player	uade	Protracker compatible	0	67732	ad002eb4	45a4c3cc	2/GAMES/G330.DMS/MOD.music
0598bd8a40c47f47d72dad36b743e5d3	1	221398	player	uade	Protracker compatible	0	135166	8a389f42	808b506f	2/MUSICS/M069.DMS/mod.swiv
06dfc8918b43f64857875e779212f215	0	0	nosound	libxmp	MED 2.00 MED3	4	922	76e228d2	fbedc624	1/ST-SAMPLES/ABERCOMBIE/Abercrombie
06ef05a1cb8af49f1a90422ffeaefb59	0	142990	player	uade	Sonix Music Driver	0	7312	f2999727	68dd1722	2/MUSICS/M048.DMS/Scores/the sign of the death.smus
07309c72ed90b2a930b3c772b8ee8423	1	325567	player	uade	Protracker	0	102266	3e3fd6c1	a0767f45	1/utilities/U028.DMS/MODULES/mod.space-song
07309c72ed90b2a930b3c772b8ee8423	1	325567	player	uade	Protracker	0	102266	3e3fd6c1	a0767f45	1/utilities/U292.DMS/mod.space-song
077749b1699e0ad56830e2b43cf6be1f	1	234359	player	uade	Noisetracker 1.x	0	159444	b38eaf85	d9b8eb9e	1/MUSIC-MODULE/take.mod
079922a08e7b8055934496e563a36953	1	92272	player	uade	Protracker compatible	0	20480	f286e3fd	35b1cd7f	2/GAMES/G326.DMS/mus.h
07a968a75fb7b476bc5619fb1f0d167f	1	143493	player	uade	Soundtracker II (15 instr.)	0	86518	5ed081da	6ba3e967	1/utilities/U302B.DMS/6
