001997cae2256e61abdcd8fff956c482	0	115667	player	libopenmpt	Game Music Creator	4	32100	ed844ae7	3b2e03d8	games/g_0203.dms/FatalMission2/Music/Level2Music.DAT
003b039579c7d9296d438517eb04c332	1	181029	player	uade	OctaMED MMD2	0	118866	12fd7fe2	b3d41da9	demos/d0090a.dms/mod.2
004e67868f75b60046f88927c32a8b61	1	188283	player	uade	Tracker Packer 2 - 3	0	33352	aef3e630	90622bdc	demos/d0257.dms/Eltie
0051cf2ad2b8034a8ad7a41f7059e24a	1	163125	player	uade	Protracker	0	261892	fc75bf33	9af9adca	music/m0202.dms/HW_Voya/mod.voyager
005ec976311913e8b38c8a0926cd7515	1	61789	player	uade	OctaMED MMD0	0	62340	db16b695	5c7095c2	games/g_0532b.dms/data2/m04
00691472987d0e7ac5744c471669628c	1	220881	player+silence	uade	OctaMED MMD0	0	132514	f393231f	346b2233	music/m0083.dms/Modules/AnotherWorld
0083708b253234ee2944098de31b364a	1	394249	player	uade	Protracker	0	228728	f29cc999	1db7591d	music/m0090.dms/mod.Vanish - Monoxide
0087334f413fe4fd6dc1b9b20325b110	1	56424	player	uade	Protracker	0	100200	96df53f9	5b880505	music/m0185.dms/DailyPleasure/DailyPleasure.mod
008b865142a4886d99b9d5b5f68a867d	1	205147	player+silence	st3play	Scream Tracker 3.01 (GUS)	16	220575	57acd549	794da3f4	music/m0072.dms/THEAWAKE.S3M
00a2dfa443698b307692fbb8a0633c32	0	130693	player	uade	Amos Music Bank	0	119678	ecfb81c6	1e621ed8	games/g_0160.dms/Bunny-Blast/Gamewin.Abk
01615f32ba7c821686924c2ecc1ace2c	1	281018	player	uade	Protracker	0	440278	2dd943f3	f403bec8	music/m0267.dms/2_Rave_t/2-ACTION.MOD
01972cf2bbabdde41355cac51c0e401f	1	253768	player+silence	uade	Protracker	0	210224	3e8dcc77	6ccc2be6	music/m0185.dms/AcidJazz/AcidJazz.mod
0220abe76a419a93652f6e87dde9f88c	1	102741	player	uade	OctaMED MMD1	0	63314	dc4ee347	5934b485	music/m0111.dms/PlayMed/SHM-HC.MED
0220abe76a419a93652f6e87dde9f88c	1	102741	player	uade	OctaMED MMD1	0	63314	dc4ee347	5934b485	music/m0147.dms/Mods/SHM-HC.MED
02577cd911046cd64719690c6b5c382a	1	143031	player	uade	Tracker Packer 2 - 3	0	78312	c7745582	206bf924	demos/d0254.dms/boah
025f082850f0a12a15ea5d73cff35f9b	1	234715	player+silence	st3play	Scream Tracker 3.01 (SB)	16	123766	34fedf98	384210e7	music/m0077.dms/DOESTHIS.S3M
02b5438b12e5cc93a92c9a5dcb10936c	1	53872	player	uade	Protracker	0	76850	b00c92a8	c0dabe74	games/g_0608.dms/Music/funkee
02cfaac3229e877f6c558d47a3a05479	1	57730	player	uade	Protracker	0	83248	a293805d	691a1c18	music/m0203.dms/Piano/mod.Piano
0304f3050401cd541b681ef31eee6560	1	317569	player	uade	Protracker	0	254026	41314cc6	67e5d506	music/m0184.dms/DiscoCrazy/DiscoCrazy.mod
0379a44027157aeea19db8a66e4a493b	1	14408	player+silence	uade	Protracker	0	31326	aae80b1c	6cdb9b31	games/g_0010.dms/DeluxeGalagaV2.3/GALAGA.JINGLE2
0379a44027157aeea19db8a66e4a493b	1	14408	player+silence	uade	Protracker	0	31326	aae80b1c	6cdb9b31	games/g_0042.dms/Deluxe_Galaga23/GALAGA.JINGLE2
0379a44027157aeea19db8a66e4a493b	1	14408	player+silence	uade	Protracker	0	31326	aae80b1c	6cdb9b31	games/g_0258.dms/GALAGA/GALAGA.JINGLE2
0379a44027157aeea19db8a66e4a493b	1	14408	player+silence	uade	Protracker	0	31326	aae80b1c	6cdb9b31	games/g_0284.dms/GALAGA.JINGLE2
0379a44027157aeea19db8a66e4a493b	1	14408	player+silence	uade	Protracker	0	31326	aae80b1c	6cdb9b31	games/g_0323.dms/GALAGA.JINGLE2
0379a44027157aeea19db8a66e4a493b	1	14408	player+silence	uade	Protracker	0	31326	aae80b1c	6cdb9b31	games/g_0565.dms/Deluxe_Galaga_2.6/GALAGA.JINGLE2
038ce7fd7543b1211a1d3aae60c40d9e	1	542648	player+silence	st3play	Scream Tracker 3.01 (GUS)	16	416328	b8caab1c	6e5071b3	music/m0040.dms/HAPPYBI2.S3M
03969427147abe250118f8f7617ef971	1	299962	player+silence	uade	MED4 (4ch)	0	57121	03d1e57b	f1b6a7bc	music/m0108.dms/DEMOS/Song24
03969427147abe250118f8f7617ef971	1	299962	player+silence	uade	MED4 (4ch)	0	57121	03d1e57b	f1b6a7bc	utils/u_0159.dms/DEMOS/Song24
03c05dc673f72d0fb8b955879a96b257	1	77583	player	uade	OctaMED MMD1	0	24674	74e31c25	9206301a	games/g_0040a.dms/C/Tune
03d7da538ed763825f44fa60a519e296	1	112969	player	st3play	Scream Tracker 3.2x (SB)	8	112300	add078c8	b8b9f102	music/m0237.dms/PL_Rave/pl_rave.s3m
03e511e5123fc3497e227c449f6a182d	1	138891	player	st3play	Scream Tracker 3.01 (SB)	16	251066	b8595e12	47b09827	music/m0068.dms/ELECTRIC.S3M
0430d768c1e9d7cd31497ad9773d5029	1	241527	player+silence	uade	Protracker compatible	0	205088	f89fa037	12d76e20	music/m0011.dms/ACIDOFIL.MOD
044322880a7755ac1f394be188625ff9	1	92272	player	uade	Protracker compatible	0	28244	1a04d337	19576ea6	music/m0128.dms/Mods/mod.buddasbirthday
046ad9c8e3929670376fc8ef37b40054	1	210643	player+silence	st3play	Scream Tracker 3.2x (GUS)	12	233200	331fae97	f24de339	music/m0231.dms/D_Gblszr/d-gblszr.s3m
048121f7bf2d9683ac1d46fb1817131e	0	152435	player	uade	Amos Music Bank	0	39064	5489b379	05463c84	games/G_0674/MARBLES/MARBLES.LHA/msx4
04846062bc3e255fd207050a67e24290	1	293195	player+silence	uade	Protracker	0	311242	288aba99	9deb3a43	music/m0273.dms/Always/mod.Always Carry On
04912802c8bdc359764fa145919eb383	1	185882	player+silence	st3play	Scream Tracker 3.01 (GUS)	15	309030	b7f43b6e	0e008614	music/m0173.dms/S3M_DarkTime/darktime.s3m
04aa8121c76679039a8fe9115be74fa8	1	7796	player	uade	P50A - P60A - P61A	0	7218	f0955b63	46117933	demos/d0212b.dms/P61.Samplestune
0576976d529ede8c61c2450c8e733c1c	1	118013	player	uade	OctaMED MMD0	0	81758	cf448f3c	ae1df9f0	games/g_0105.dms/Kresreb
057db35acfa48fd29a00c1533b6b2524	1	96211	player	uade	Protracker compatible	0	262171	40c6968c	d9a13029	music/m0009.dms/STIMPY.MOD
059adab75874bb5dc9279b172b8bdf9f	1	138369	player	uade	Protracker	0	17258	58eb0f16	376b6caa	music/m0204.dms/NonMods9510/non_plus_ultra/mods/1995/10oct/MOD.PACKER.rel
05bfbe3404250eddd00ed17b2259d2a4	1	115321	player	uade	P50A - P60A - P61A	0	7300	a41183b5	610ff7fe	demos/d0215.dms/Mystify/Modules/P61.Modu04
05d246981fd02ef4e44ab0e51b5ac1f6	1	107805	player	uade	OctaMED MMD1	0	126148	18d12a64	4d7117fb	art/a_0152.dms/Heavy_Stuff
05d41d5a7b5ed34da06d3a957cad138b	1	325406	player	uade	Protracker	0	151084	d2307724	ba42e82e	music/m0007.dms/TURRICAN .MOD
05e141c402087027c4a0c53e42f28e11	1	48768	player	uade	Protracker	0	89866	d88fb137	f470284e	games/g_0175.dms/TUNE.TRON
0605e3d04c8c709da28e3a54e61fd5b6	1	218345	player+silence	uade	Protracker	0	194330	9d5130f7	0365a748	music/m0299.dms/Hello/Hello.mod
061041ff83b4e63349b10789caa1e70b	1	358745	player+silence	uade	Protracker	0	201408	210bf289	234b318a	music/m0110.dms/modules/mod.Silly_love_song.(remix)
062f0582d0526880b6f3870b52d417b6	1	21802	player	uade	Protracker	0	10722	46628f08	dd63a174	music/m0184.dms/Naturv/naturv.mod
