372	Scales of Joy	1992-05-23	d	{"Mel O'Dee"}	{361,64546,69330,75265,80166,143883,167157,224634,224636,224637,224639,224640,229136,229139,229142,229144,229157,229158,229160,233054,245096,256920,327288,328498,330149}
516	Condom Corruption	1992-12-29	d	{Travolta}	{2,78319,79302,79315,169646,219001,227569,249275}
517	Ocean Machine	2005-03-29	d	{Crankshaft}	{4}
518	Feng Shui Schematics	2010-06-04	d	{Radix}	{3}
524	Shadow Vector	1991-07-01	m	{Zonix}	{523}
525	Zoomer	1991-07-01	m	{Zonix}	{523,268241,287631}
526	Blueshit	1991-07-01	m	{Scortia}	{523,287631}
527	Nossefunk	1991-07-01	m	{Scortia}	{523,173703,287631,375104}
528	Pride of Denmark	1991-07-01	m	{McTech}	{523}
529	Tongil	1991-07-01	m	{Metal}	{523,360036}
568	raw.wal	1992-01-01	y	{Wal}	{567,232524}
570	Bombman	2006-08-06	d	{Takomo}	{5}
571	Minimum Penetration	1993-04-10	d	{Jason}	{6}
572	Silkcut (soundtrack)	2004-04-12	d	{Blaizer}	{8}
573	Setup2	1993-02-19	d	{Blaizer}	{407}
574	Labello	1991-01-01	y	{"Allister Brimble"}	{569,162147,214364,215829,223982,234498,241647,242857,255719,260969,260977,260984}
579	Dotty Flowers.short	1991-02-08	d	{Genius}	{79321,163823,163824,198123,203883,203923,203926,222138,233748,243570,243750,252025,253666,313979,320840,320875}
594	iWTF	2010-10-23	d	{T-101}	{593}
601	Cosmic Soliloquy	2009-08-08	d	{T-101}	{598}
602	Bad Seed	2009-09-19	d	{T-101}	{596}
603	Speedlimit	2009-09-19	d	{T-101}	{592}
604	Grind	2010-08-08	d	{T-101}	{157}
611	Mega Mix '88	1988-10-09	d	{Ziphoid}	{261,67829,209578,217459,221270,221872,223611,224497,226847,229717,237950,266023,353269}
614	Imploder (remix)	2002-10-16	d	{Reed}	{613}
615	Addiction	2002-10-16	d	{Maktone}	{613,126445,200652}
616	Trouble At Grand Central	2002-10-16	d	{Smash}	{613}
617	3 Ankare	2002-10-16	d	{Maktone}	{613,97504,200652}
618	Battle Squadron (remake)	2002-10-16	d	{Reed}	{613}
619	Goblin King	2002-10-16	d	{Maktone}	{613,200652}
620	Civilian	2002-10-16	d	{Reed}	{613}
621	White Shadows	2002-10-16	d	{Maktone}	{613,200652}
622	Exposed	2002-10-16	d	{"Mick Rippon"}	{613}
623	Hansa Export	2002-10-16	d	{Maktone}	{613,200652}
624	Summer Parks	2002-10-16	d	{Maktone}	{613}
625	Dansze Mucyka	2002-10-16	d	{Reed}	{613}
