000068f4bee6	Excellence in Art	Unique Development Sweden	Obsession	
0001abe70f12	Roz			
0001e0ae69c7	Kenet			
00099c6ea8ef	Blue Tiger			
002164ac53be	An Cool	The Carebears	M-Demo 4	
002a9edb12f1	Seabrush			
003002a2f80e	Alastair Lindsay	Atari~Imagitec Design	Defender 2000	
00303f3227ec	Paskud			
003a4a4b4a3c	Crazy Q			
004ac341c3e8	Dump			
00500caa392a				1995
00589dfcc6fa	Dumbo			
005ba89cbd4a	RFR	Illusions	Illusions Slideshow	
005d49a34965	Front 6			
0070265e32b1	Badsnail			
007252789481	Bob	Holland Game Design	Ping 2000	
007a26bfbbe9	Badsnail			
0081e5230dfe	Roz			
00862aa20348	Patrick Phelan	Gremlin Graphics	Zool	
00a377f9b8e8	Charon			
00abc11767d4	Roz	Fit	Manschester Schwartzwurst	
00ac829ab756	D.D			
00b821ae6bc0	Lotek Style			
00d5ab3c67f2	Energy			
00d7b46813f4	Cedyn			
00e36cbb292c	Roz			
00f451b77270	Sherlock			
00f51cbf232a	Xtream			
00f6028ef41f	Lt. Earwax	Imagina	X-Plotion	
00f78a6305ad	Frequent			
00fddf9aa147	Richard Joseph	Sensible Software	Cannon Fodder	
00fe0ec35edc	Roz			
01112556c53b	Kenet			
0116652fcff5	STAX			
011f88ef6079	Mr. Wrobel	Acid Team	Dragonnels demo	
01219065e80c	Kenet			
0128b7f347cf	Vivid			
012fcc0b9b36	Oedipus			
013210346e71	Dasse	Dead Hackers Society	Conflict	
01337add0875	Andi McGinty	Virgin	McDonald Land	
0133837172eb	Ray Norrish	Psygnosis	Spellbound	
013af0bb338a	Clawz			
013c3e7b599c	Tyan			
0146a3edf0dc	Dave (.pl)			
015880543aef	Michel Winogradoff	Loriciel	Tennis Cup 2	
016415a8e410	Kenet			
0164f82b012f	Charon	NATO	Nato Sound demo 3	
016a35a152b1	Steve Scaove	Krunch Korporation	Gorf 2000	
01809d23eb71	Rhino			
0191d7b6ca42	Roz			
01a11bfb8bd7	The Match	FUN Industries	Snatch	
01a8c86d2278	Djamm	EKO	H2o	
01ab0103d472	Richard Joseph	Millenium	Global Effect	
01b348e6898a	Tommy			
01b51b9c9ba7	Dubmood			
01b7ee17fbd3	Blue Silence	Atrocity	Diamonds preview	
01c0148bb761	Kenet			
01c38a467277	Bernard Sumner	FUN Industries	Crazy Chippie Compile	
01e248a52bec	Mercure			
01e5e90c22f5	Tim Wright	Psygnosis	Agony	
01e7481d1d57	Cerror			
01e81ea40457	Phil Clarke	In-House~Ouex	Huckleberry Hound	
01e8c9e816ed	Tebirod			
01f15e28d687	Lynxx			
01f1a008e77e	Clawz			
020f5bab1912	Djamm	Nomad	Moai	
0216cee2664d	Hurricane		TCB Tracker Conversions	
021980848882	505	Dead Hackers Society	Just Musix 4	
0229278f2923	Radium			
022965a8fa98	Supernao	Mystic Bytes	Chosneck #2	
022df3657094	Clawz			
023175d7a55d				2010
0242d8e44088	Matt Furniss	Krisalis	Soccer Kid	
0244a7e0c5e3	Outzider			
02462b20fa69	Factor 6			
024a3b4661a2	505	Checkpoint~Escape	Modulation 1	
02561d23cc17	Rhino			
025e47e9f0d3	Matt Furniss	U.S. Gold	Out Run Europa	
02621c2c0909	MC JEE			
02663d886d11		Trigon Software	Blum	
0270c9b36075	Clawz			
0271a8f59c4e				2015
