0004b3b37628	El Gringo	Amaze		1992
0007ac0442c3	Rymix			
000fdae085ff	Amenophis			1995
0012f84bf2ec	Rix	The Party		1994
001301e99416	Snoopy	Mountain Beer Congress		1993
0014cac28010	Space Rake~Toxic Avenger			
001616d74fe9		Les Heretiques	SoundDisk 1	
0024dbceb795	Cytron	The Party		1995
00317d401c18	Maf			1994
003450bef62e	Jesper Kyd	The Silents	Megademo	
003c2638cec8	Moone			1996
00487bd4ac2a	Jogeir Liljedahl			1992
00564fdc7624	Shad			1993
00624730b26d	Heatbeat			
006a70e8787a	Leviathan			1995
006a7131e600	16beat			
006d9a173633	Jellybean			1992
006f594cd16d	Nebula			1992
0073061b5275	Mahoney		Sound of Gnome	
007359a619ae	Dr Awesome	Crusaders	Bass-o-Matic	
007392888c3b	Jelace			
007675117c9b	Don Cato			1993
00778f7e4b09	XTD			1994
0077e232bfd3	DeathLok	Damage Inc		
007926f90b36	TDK			1993
0083fbe74b28	Deelite			1992
009666839848	Maxym			1994
0096e16814f8	Psychotron	The Party		1995
0097cb1ea88f	Delorean			
009c0fafc515	Lepra	The Trackering		1995
00ab960bf1da	Mem o'Ree	Abyss	Diznee Land 1	1994
00acd52d7c53	Mushies~Soundy	Suspect	Behind The Window	1992
00af361acfcf	Jam~Spoon			1994
00b548bfdb98	Solar			
00bb2ef5af5b	Laxical			
00c2b72a4be5	Gryzor	Dmacon	Tune-Disk 3	1991
00c9cb72c212	Otis			1995
00cd9b0cb08c	Hardfire	GASP		1995
00cf4a4a0d1a	Twilight			1992
00d9b19ccfa8	Prime~Some1		WaterProof	1993
00dd1b1d8460	Allister Brimble		Body Blows	
00e40cae921b	Sly Spy			
00e5f9e34ce0	XTD			1994
00e7a7cfd6a2	Covert Action Team	Essence		
00ef99aeccb4	Soundy			
00f7b52b0618	Romeo Knight			
00f9705f2b5a	PKK			1993
0101882b666d	NeuroDancer	Abyss	DrugStore	
0107e1167295	Pseudolukian	Desire		
010a18fb9a07	Hille	Giants	Brain Damage #3	
010c0d10bed0	Dan	Union		1994
0118680eb39c	Laz	The Party		1995
011868f737d4	Stephan Stoop			1992
