0009c3ef4c4c		Titus	Titus the Fox	1992
000c1cf9ab31	Clemens Helbock	Neo	Whale's Voyage II	1995
001a02867da0		Epyx	World Games	1987
00214c18f69a	Gian Luca Gaiba	Simulmondo	Time Runners	1994
002cf6cb2948	Tim Wright	Dionysus	Puggs in Space	1989
003224725431	Christian Blaha	Public Domain	Frantic Freddie	1990
0043432c1edb	Allister Brimble	Team17	Superfrog	1992
00496af831ab	Tim Haywood	U.S. Gold	Winter Olympics	1994
005ca42a4bc4	Private Affair	Vulcan Software	Valhalla	1995
005cb92c782a	Allister Brimble	Binary Asylum	Zeewolf	1994
005ec9763119	Rob Wells	Public Domain	StarWoids Demo	1994
0077897e8162	Blair Zuppicich	Mindscape	Seek & Destroy	1993
007a623285fa	Andrew Barnabas	Virgin Interactive	Cool Spot	1993
0084444d6129	Matthias Steinwachs	Thalion	Lionheart	1992
00855a22f398	John Phillips	Hewson	Eliminator	1988
008735630c63	Matt Furniss	U.S. Gold	Out Run Europa	1991
0088e0f0bb0f	Adrian Cummings	Microtec Entertainment	Nucleus	1990
0089b75e1672	Thomas Lopatic	Rainbow Arts	Katakis	1988
008d5fd32596	David Whittaker	Ocean	Total Recall	1990
008d98562183	Vlado Tomic	Titan Computer	Evil's Doom	1996
0094ff95908c	Rudolf Stember	Double Density	Orbit	1987
0095a0fd06b1	Mark Knight	Mindscape	Pierre Le Chef is Out to Lunch	1994
00997baa0231	Allister Brimble	Virgin Interactive	T2: The Arcade Game	1993
009ea7aae413	Rainman	Royal Amiga Force	Royal Amiga Force Mega-Demo	1989
00a186f8ac71	Stephane Picq	Infogrames	Jumping Jack'Son	1990
00aa25583653	Mike Clarke	Charley Brewster	Indigo	1993
00bcbc8a71fa	Barry Leitch	Gametek	American Gladiators	1991
00d1c6b3296f	Tim Wright	Psygnosis	Aquaventura	1992
00d93a37d4e5	Ben Daglish	Gremlin Graphics	Footballer of the Year 2	1989
00da008ee5de	Bjorn Lynne	Team17	Qwak	1993
00df28610c6d	Darren Wood	Psygnosis	X-IT	1994
00f4dae5aeac	Sorcery Media	Adventure Soft	Simon the Sorcerer	1994
0103ee2150f5	Mike Clarke	Psygnosis	Bill's Tomato Game	1992
010d7758420f	Tom Rettig	Brøderbund	Where in the U.S.A. is Carmen Sandiego?	1989
0113cbbeb9c1	Matt Furniss	Origin	Ultima VI	1992
011ba8c52742	Pipe Smokers Cough	Ocean	Kid Chaos	1994
012c6c408d66	Per Almered	Unique Development Sweden	Obsession	1995
0133837172eb	Ray Norrish	Psygnosis	Spellbound	1988
01340e3c6259	Martin Iveson	Core Design	Jaguar XJ220	1992
013889ff41ee		Sierra On-Line	Space Quest II	1988
013f973703b5	Barry Leitch	Konami	Back to the Future Part III	1991
014726274445	Matthias Steinwachs	Thalion	Ambermoon	1993
014862c9b0e0	Fabrice Visserot	Ubi Soft	Puffy's Saga	1989
0179f04de04a	Mark Knight	Mindscape	Pierre Le Chef is Out to Lunch	1994
017abb760b29	Stephane Picq	Infogrames	Crash Garrett	1988
01812474838b	Daniel Pudenz	Defcom	Arena	1992
018f56fc718e	David Schroeder	Melbourne House	War in Middle Earth	1988
019ff32447a1	Ruedi Hugentobler	Starbyte Software	Traps 'n' Treasures	1993
019ff74467fc		Titus	Crime Does Not Pay	1989
01a092ec2cdd	Chris Barker	Virgin Mastertronic	Spirit of Excalibur	1990
01ab66d7ca23	Allister Brimble	Audiogenic	Super Loopz	1995
01b0aced4f20		Sierra On-Line	King's Quest	1987
01bc308722ea	Wally Beben	Public Domain	Airmania!	1991
01c1602d5e13	Wally Beben	Micro Status	Dark Side	1989
01c3639f1390	Orall Cornelius	Arc Software	Pyramax	1990
01e453388f65	Janko Mrsic-Flogel	Paradox Software	War Zone	1986
01e81ea40457	Phil Clarke	Quex Developments Ltd	Huckleberry Hound in Hollywood Capers	1993
01ebf872d26f	Steve Morgan	Boms Computer Games	Club & Country	1995
020561592456	William Goldstein	Sierra On-Line	King's Quest IV	1990
0207db370a07	Thomas Lopatic	Time Warp Productions	Street Gang	1987
020d754f9bda	Evens Salies	Infomedia	Explora III	1990
020f5fde7e48		Sierra On-Line	Space Quest II	1988
0213678a0de3	Hannes Seifert	Flair Software	1869	1992
021d1f4fb151	Blair Zuppicich	Kompart	Woodys World	1993
022d8a95683b	Fabio Cicciarello	Gremlin Interactive	Shadow Fighter	1994
022f54c6bdf0		Infogrames	Bivouac	1987
022fcf2c825b	Bob Lindstrom	Cinemaware	Rocket Ranger	1988
022fe9a404f1	Gregory Haggard	Cinemaware	It Came From The Desert	1989
025705448df4	Matthias Steinwachs	Thalion	Lionheart	1992
025e47e9f0d3	Matt Furniss	U.S. Gold	Out Run Europa	1991
026023a04452	Allister Brimble	Team17	ATR	1993
0263456eea9c	Klaus Nielsen	Kefrens	Desert Dream	1993
026d5fd899a6	Mike Clarke	Psygnosis	Bill's Tomato Game	1992
026de38bcb06	Sorcery Media	Adventure Soft	Simon the Sorcerer	1994
0277360aa867	Zoltan Vegh	Psygnosis	Perihelion	1993
0278c4b415fc	Richard Joseph	Renegade	The Chaos Engine	1993
027a5f1854ca	Thomas Zighem	Mindscape	Genesia	1993
027d7bea26b9	Martin Nyrup	Breadline	The Moochies	1991
027f92808dde	Patrick Pose	Wild Copper	Wild Copper demo	1988
027fd214d30f	Wally Beben	Tynesoft	Winter Challenge	1988
028bff18be4b	Dave Lowe	Activision	Power Drift	1989
0291db4acf53	Jason Smart	Firebird	Flying Shark	1988
02921e1d0ead	Dirk Magerkord	Computerpartner T&S GmbH	Einmal Kanzler sein	1991
02a9aec2da87	Adrian Cummings	Core Design	Doodlebug	1992
02ab03780e5e	Matt Furniss	Krisalis	Soccer Kid	1994
02adbe59c9e8	Gian Luca Gaiba	Simulmondo	Spider-Man	1993
02b5c0a73651	Raphael Gesqua	U.S. Gold	Flashback	1992
02b8bd3f78c2	Martin Walker	Core Design	Frenetic	1991
02c21c169e2c	Ben Daglish	Gremlin Graphics	Super Scramble Simulator	1989
02cbeea7a25d	Mark Cooksey	Elite	Grand National	1989
02d24b4f6716	Olivier Robin	Ubi Soft	B.A.T. II	1990
02d7827d6d6d	Gian Luca Gaiba	Simulmondo	Time Runners	1994
02e1b2387aa2	Gian Luca Gaiba	Simulmondo	Diabolik	1993
02e61e6550c5	Clemens Helbock	Neo	The Clue!	1994
02f210f1d156	Raphael Gesqua	U.S. Gold	Flashback	1992
02f47c2280c2	Raymond Usher	Psygnosis	All New World Of Lemmings	1994
02fe02c32728	Pipe Smokers Cough	Ocean	Kid Chaos	1994
030d460b91e9	Paul Summers	Psygnosis	Matrix Marauders	1990
031bdd74e533	Dirk Magerkord	Computerpartner T&S GmbH	Einmal Kanzler sein	1991
031d43eedb75	Ben Daglish	Firebird	Rick Dangerous	1989
031e9a6a8aec	Massimo Perini	Simulmondo	Dylan Dog	1993
03237bbf89c7	Volker Tripp	APC & TCP	1990	1993
0339c44988f6	James Elliot	Sierra On-Line	Mixed-Up Mother Goose	1987
033a866d0586	Allister Brimble	Team17	Project-X	1992
034611b56ff0	Nigel Spencer	Data East	Bo Jackson Baseball	1992
